practice_code,region,registered_patients,gp_fte
B83005,"North East and Yorkshire",7104,2.48
B83008,"North East and Yorkshire",20077,11.44
B83009,"North East and Yorkshire",15845,11.57
B83010,"North East and Yorkshire",10159,5.75
B83012,"North East and Yorkshire",11079,6.02
B83014,"North East and Yorkshire",13604,17.32
B83015,"North East and Yorkshire",8791,2.84
B83016,"North East and Yorkshire",8795,8.13
B83018,"North East and Yorkshire",12572,6.20
B83019,"North East and Yorkshire",7067,9.46
B83020,"North East and Yorkshire",18296,5.87
B83022,"North East and Yorkshire",9765,9.15
B83025,"North East and Yorkshire",4462,1.89
B83026,"North East and Yorkshire",5905,2.26
B83028,"North East and Yorkshire",10877,4.07
B83029,"North East and Yorkshire",10118,3.59
B83031,"North East and Yorkshire",3985,1.87
B83032,"North East and Yorkshire",4339,1.00
B83033,"North East and Yorkshire",86643,47.65
B83034,"North East and Yorkshire",7079,1.88
B83035,"North East and Yorkshire",15747,8.53
B83037,"North East and Yorkshire",10031,8.40
B83038,"North East and Yorkshire",18715,18.90
B83039,"North East and Yorkshire",24241,17.97
B83041,"North East and Yorkshire",14915,13.50
B83042,"North East and Yorkshire",8813,10.13
B83045,"North East and Yorkshire",12561,9.04
B83051,"North East and Yorkshire",10696,1.78
B83052,"North East and Yorkshire",24417,8.34
B83054,"North East and Yorkshire",6330,2.60
B83055,"North East and Yorkshire",32153,29.97
B83056,"North East and Yorkshire",8450,5.80
B83058,"North East and Yorkshire",8715,3.94
B83062,"North East and Yorkshire",8966,13.84
B83063,"North East and Yorkshire",19821,21.26
B83064,"North East and Yorkshire",11562,7.67
B83067,"North East and Yorkshire",7793,5.74
B83604,"North East and Yorkshire",4610,1.33
B83611,"North East and Yorkshire",11739,2.56
B83614,"North East and Yorkshire",9732,2.27
B83620,"North East and Yorkshire",3436,4.85
B83622,"North East and Yorkshire",4235,2.21
B83624,"North East and Yorkshire",17079,19.41
B83626,"North East and Yorkshire",6479,2.00
B83627,"North East and Yorkshire",3632,1.12
B83628,"North East and Yorkshire",10000,0.90
B83629,"North East and Yorkshire",3183,2.27
B83641,"North East and Yorkshire",9988,8.75
B83642,"North East and Yorkshire",4504,0.89
B83653,"North East and Yorkshire",7774,4.85
B83657,"North East and Yorkshire",6026,11.01
B83659,"North East and Yorkshire",3892,2.00
B83661,"North East and Yorkshire",2961,1.44
B84001,"North East and Yorkshire",10289,8.52
B84003,"North East and Yorkshire",7835,6.22
B84004,"North East and Yorkshire",18502,10.36
B84006,"North East and Yorkshire",16208,7.49
B84007,"North East and Yorkshire",10702,8.43
B84008,"North East and Yorkshire",16156,10.80
B84009,"North East and Yorkshire",11542,10.29
B84010,"North East and Yorkshire",10376,9.38
B84011,"North East and Yorkshire",11048,7.56
B84012,"North East and Yorkshire",28671,25.00
B84013,"North East and Yorkshire",9214,5.72
B84014,"North East and Yorkshire",5351,6.27
B84016,"North East and Yorkshire",11339,5.74
B84019,"North East and Yorkshire",17034,12.29
B84021,"North East and Yorkshire",8798,4.87
B84612,"North East and Yorkshire",9008,1.73
B84613,"North East and Yorkshire",10251,4.24
B84618,"North East and Yorkshire",8346,1.48
B84623,"North East and Yorkshire",5014,2.23
B85001,"North East and Yorkshire",6902,2.03
B85002,"North East and Yorkshire",4541,3.42
B85004,"North East and Yorkshire",6112,0.43
B85005,"North East and Yorkshire",6763,3.75
B85006,"North East and Yorkshire",15372,14.24
B85008,"North East and Yorkshire",6255,1.97
B85009,"North East and Yorkshire",8676,6.58
B85010,"North East and Yorkshire",6962,3.52
B85012,"North East and Yorkshire",10815,9.11
B85014,"North East and Yorkshire",9459,3.94
B85015,"North East and Yorkshire",8601,3.04
B85016,"North East and Yorkshire",10525,6.45
B85018,"North East and Yorkshire",9357,2.92
B85019,"North East and Yorkshire",17302,7.81
B85020,"North East and Yorkshire",6686,7.84
B85021,"North East and Yorkshire",9011,4.00
B85022,"North East and Yorkshire",7883,4.31
B85023,"North East and Yorkshire",6272,2.95
B85024,"North East and Yorkshire",9426,6.59
B85025,"North East and Yorkshire",12231,14.45
B85026,"North East and Yorkshire",8009,10.28
B85027,"North East and Yorkshire",10467,4.47
B85028,"North East and Yorkshire",17160,1.48
B85030,"North East and Yorkshire",9421,4.61
B85031,"North East and Yorkshire",6928,3.63
B85032,"North East and Yorkshire",5955,3.61
B85033,"North East and Yorkshire",5571,3.41
B85036,"North East and Yorkshire",8471,4.03
B85037,"North East and Yorkshire",5773,4.14
B85038,"North East and Yorkshire",5894,1.07
B85041,"North East and Yorkshire",15812,5.00
B85042,"North East and Yorkshire",9032,11.45
B85044,"North East and Yorkshire",2975,1.31
B85048,"North East and Yorkshire",4545,1.07
B85051,"North East and Yorkshire",7276,2.41
B85054,"North East and Yorkshire",10081,8.69
B85055,"North East and Yorkshire",12758,3.36
B85058,"North East and Yorkshire",3030,2.27
B85059,"North East and Yorkshire",8285,2.17
B85060,"North East and Yorkshire",2447,3.20
B85061,"North East and Yorkshire",9586,4.05
B85062,"North East and Yorkshire",14877,6.37
B85606,"North East and Yorkshire",4629,1.67
B85610,"North East and Yorkshire",10827,5.07
B85611,"North East and Yorkshire",3738,1.60
B85612,"North East and Yorkshire",4511,1.57
B85614,"North East and Yorkshire",6842,1.00
B85619,"North East and Yorkshire",3148,1.91
